difficulty,ablation,method,episode,reward,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean
v2x_hotspot_hard,none,random,1,-198.52420373632106,0.13885467383676778,2.5913388105508357,148.62603302560626,151.21737183615707,0.9,0.1,0.498290141441206
v2x_hotspot_hard,none,random,2,-39.56815344049318,0.030781915104139374,0.5859490962902905,148.9695176704767,149.55546676676695,0.9833333333333333,0.016666666666666666,0.5154272109770971
v2x_hotspot_hard,none,random,3,-196.3525209420014,0.12266244241559093,2.249676420430448,137.5517126591926,139.801389079623,0.8972222222222224,0.10277777777777779,0.49360989522046206
v2x_hotspot_hard,none,random,4,-295.5853423695055,0.21998730383747198,4.7833479888315775,141.54708494502282,146.33043293385438,0.8527777777777779,0.14722222222222217,0.4841795386797373
v2x_hotspot_hard,none,random,5,-290.65559780634584,0.20653891296803922,4.771229677487782,138.61507491756808,143.38630459505586,0.8527777777777779,0.1472222222222222,0.5016135501648028
v2x_hotspot_hard,none,random,6,-371.25737468731666,0.24095132828771593,4.95830044977979,145.5382496748496,150.4965501246293,0.8055555555555556,0.19444444444444445,0.4965024042172131
v2x_hotspot_hard,none,random,7,-325.48567223187825,0.20391715999295273,5.020245000640392,130.82957614653844,135.8498211471789,0.8277777777777776,0.17222222222222225,0.48172528445275165
v2x_hotspot_hard,none,random,8,-492.82665290628205,0.3339629817399469,6.992727476281066,146.33992185375666,153.33264933003775,0.7444444444444444,0.2555555555555556,0.5030235268405737
v2x_hotspot_hard,none,random,9,-504.931149941239,0.3450450573023758,7.624293326841056,149.54001708595115,157.16431041279216,0.738888888888889,0.26111111111111107,0.5132427830079049
v2x_hotspot_hard,none,random,10,-554.7239107094266,0.4177616660356264,8.813183005311389,135.51051488139154,144.32369788670294,0.7222222222222224,0.27777777777777785,0.4958019532587279
v2x_hotspot_hard,none,random,11,-357.24904666773404,0.24616939329969406,5.152737259289927,149.11609873551586,154.26883599480573,0.8166666666666667,0.1833333333333333,0.47642307975892095
v2x_hotspot_hard,none,random,12,-301.8662668995856,0.2035707483740361,4.184185913794399,148.5090635839566,152.69324949775103,0.8444444444444446,0.15555555555555553,0.5228700740734034
v2x_hotspot_hard,none,random,13,-575.8308680048135,0.39769503789017385,8.216045517381641,147.13909996098548,155.3551454783671,0.7027777777777777,0.2972222222222222,0.5310509262023292
v2x_hotspot_hard,none,random,14,-100.97973790139325,0.07957049075180422,1.4188990132141577,143.0598086782442,144.4787076914584,0.9527777777777777,0.047222222222222214,0.5241791794205485
v2x_hotspot_hard,none,random,15,-241.98567371018802,0.1715325706572169,3.437475556654671,137.69413356301078,141.13160911966546,0.8777777777777778,0.12222222222222222,0.4914123078774303
v2x_hotspot_hard,none,random,16,-280.6480058229726,0.20063960621322366,4.078634730270091,143.1796181434674,147.25825287373752,0.8583333333333335,0.14166666666666664,0.4682331265690331
v2x_hotspot_hard,none,random,17,-167.05925720327966,0.1195718436107839,2.3815082875584355,131.39827515902235,133.77978344658078,0.9166666666666666,0.08333333333333333,0.4919449556808628
