difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate
v2x_hotspot_hard,none,random,40,-339.15034142385,155.6162241491331,0.23370824883570923,4.907425213147045,142.27163622001103,147.17906143315807,0.8259722222222223,0.17402777777777775,0.49879005977626784,4834,4799,4767,0.33569444444444446,0.3332638888888889,0.3310416666666667
v2x_hotspot_hard,none,greedy_partial,40,-142.9671711164023,61.04474694366442,0.11879163883914927,2.092626021255269,87.98007845569707,90.07270447695234,0.9322916666666667,0.06770833333333333,0.7315,0,888,13512,0.0,0.06166666666666667,0.9383333333333334
v2x_hotspot_hard,none,full_offload_tea,40,-160.87814451462276,68.46123468078493,0.12942952844756062,0.3513311253467525,92.43247799135187,92.78380911669863,0.9225694444444447,0.07743055555555556,0.25604166666666667,10713,1115,2572,0.7439583333333334,0.07743055555555556,0.1786111111111111
v2x_hotspot_hard,none,energy_guarded_tea,40,-120.02457655578519,54.95308415246534,0.11352417150228011,1.3431732891376313,87.18598720967421,88.52916049881185,0.946875,0.053125,0.20838541666666668,10548,1100,2752,0.7325,0.0763888888888889,0.19111111111111112
v2x_hotspot_hard,none,deadline_tea,40,-106.99001001944876,49.371093632279404,0.11060694322941533,1.3768556720734462,91.00682622323464,92.38368189530809,0.9552777777777779,0.04472222222222222,0.20814236111111112,10548,954,2898,0.7325,0.06625,0.20125
v2x_hotspot_hard,none,tea_partial,40,-118.125908355009,54.63454521156059,0.11166823269501411,1.3211532645667248,86.19033289556405,87.51148616013077,0.9477083333333333,0.05229166666666666,0.20914930555555555,10548,1077,2775,0.7325,0.07479166666666667,0.19270833333333334
v2x_hotspot_hard,none,follow_tea,40,-93.15583879274244,42.47137717589552,0.1067017433870368,1.3553525137748141,146.75168659986488,148.1070391136397,0.9650694444444445,0.034930555555555555,0.20800347222222224,10569,807,3024,0.7339583333333334,0.05604166666666666,0.21
v2x_hotspot_hard,none,predict_tea,40,-87.37767486968974,40.55629160308734,0.10731092837040927,1.3856952344382356,146.80565997697508,148.19135521141334,0.9692361111111112,0.030763888888888886,0.2061805555555556,10576,766,3058,0.7344444444444445,0.05319444444444445,0.2123611111111111
v2x_hotspot_hard,none,lyapunov,40,-118.22591579979652,54.70614361017682,0.11166826697518459,1.3209944402805809,86.19032851738822,87.51132295766881,0.9476388888888889,0.0523611111111111,0.20914930555555555,10548,1025,2827,0.7325,0.07118055555555555,0.19631944444444444
v2x_hotspot_hard,none,mpc_traj_h3,40,-85.5897389662603,39.43075638226746,0.10741256143415998,1.3903933809662292,122.65016828445744,124.04056166542364,0.97,0.029999999999999992,0.2070659722222222,10566,750,3084,0.73375,0.052083333333333336,0.21416666666666667
v2x_hotspot_hard,none,ppo,40,-106.72635464139447,49.17706601772628,0.11296195897902539,1.604571275863694,147.06374235564712,148.6683136315108,0.9572222222222223,0.04277777777777777,0.19906249999999998,10779,101,3520,0.7485416666666667,0.007013888888888889,0.24444444444444444
