scenario,best_reward_method,best_reward_mean,best_p95_latency_method,best_p95_latency_ms,best_mean_latency_method,best_mean_latency_ms,gdrl_reward_mean,gdrl_p95_latency_ms,gdrl_reward_gap_vs_best_mlp,gdrl_p95_gap_vs_best_mlp_ms
small,ppo_mlp,1770.208875971667,trpo_mlp,7.7880557393654,trpo_mlp,1.8869809861839,1172.8492483283333,11.5874349605291,-597.3596276433339,3.7993792211636994
medium,gdrl,3338.339093866666,ppo_mlp,15.637046098709101,ppo_mlp,3.4671744526043,3338.339093866666,17.4005428329109,10.022518544999457,1.7634967342017998
large,trpo_mlp,2402.0780595533333,gdrl,20.447952765971298,gdrl,5.660131914106801,1505.2643236033334,20.447952765971298,-896.8137359499999,-4.908274020999703
