method,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,apps_arrived,apps_done,apps_failed
ablate-no-DAG-order,5,1.0000±0.0000,2.0036±0.0350,21463.0086±848.5605,100.4800±3.4470,232.2800±2.6034,74.5600±0.4079,74.5600±0.4079,0.0000±0.0000
ablate-no-energy-state,5,0.8949±0.0057,2.8018±0.1387,19135.1481±299.1735,644.7600±25.5820,225.7600±2.0838,73.8800±0.2713,65.8400±0.5987,7.1200±0.4833
ablate-no-VWprune,5,0.9000±0.0177,3.1770±0.1316,20900.3648±601.8068,207.2400±4.9143,229.4000±1.6876,74.2800±0.8635,66.6400±1.1825,7.0800±1.1634
ablate-no-embed(=B4),5,0.7376±0.0508,3.4632±0.3091,18221.2591±2440.1280,381.8400±141.0202,199.3200±23.7873,71.8000±0.8854,52.6400±3.8166,17.0400±3.1328
