R,cell,lambda_high,method,scene_seed,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
800.0,R800-l0.2,0.2,B2-chase,3,0.0,0.7821782178217822,2.0497570063244273,19071.833206031588,908,305,-335.6583320603159,101,79,17,0.1635,11
800.0,R800-l0.2,0.2,B2-chase,4,0.0,0.75,2.1100313538563302,19299.940094434303,963,282,-362.239400944343,96,72,20,0.2025,13
800.0,R800-l0.2,0.2,B2-chase,5,0.0,0.7530864197530864,1.2921972001724833,16440.43521540588,77,228,-290.8243521540587,81,61,15,0.292,15
800.0,R800-l0.2,0.2,B2-chase,6,0.0,0.7714285714285715,1.662273025327644,16699.830957746042,834,211,-293.1183095774605,70,54,15,0.2065,10
800.0,R800-l0.2,0.2,B2-chase,7,0.0,0.7741935483870968,2.189263454425169,21648.781766149263,1400,254,-344.18781766149266,93,72,15,0.1385,9
800.0,R800-l0.2,0.2,B2-chase,8,0.0,0.7567567567567568,1.6841734165946733,17461.814266218556,591,236,-268.1981426621856,74,56,11,0.1285,6
800.0,R800-l0.2,0.2,B2-chase,9,0.0,0.5121951219512195,1.4008524947832812,14315.877575287768,317,175,-384.3787757528777,82,42,29,0.2735,27
800.0,R800-l0.2,0.2,B6-noVWprune,0,0.0,0.7850467289719626,2.222770330648501,23067.891086330583,452,319,-392.2589108633059,107,84,19,0.295,16
800.0,R800-l0.2,0.2,B6-noVWprune,1,0.0,0.719626168224299,2.0810983497103512,22677.566210341276,226,283,-437.05566210341294,107,77,25,0.2955,22
800.0,R800-l0.2,0.2,B6-noVWprune,2,0.0,0.7816091954022989,1.9875922272763362,21853.253052084638,162,258,-354.15253052084654,87,68,16,0.223,12
800.0,R800-l0.2,0.2,B6-noVWprune,3,0.0,0.717391304347826,2.1000614458000766,22545.691059989902,316,259,-402.4969105998991,92,66,21,0.192,16
800.0,R800-l0.2,0.2,B6-noVWprune,4,0.0,0.7142857142857143,1.9873805090368837,21234.258098228478,165,254,-389.2825809822848,91,65,21,0.226,15
800.0,R800-l0.2,0.2,B6-noVWprune,5,0.0,0.725,1.8649723659345516,21844.557713556434,148,216,-370.1055771355642,80,58,18,0.324,14
800.0,R800-l0.2,0.2,B6-noVWprune,6,0.0,0.7246376811594203,2.2298931331246923,21513.959063710656,130,186,-333.8595906371067,69,50,14,0.21,11
800.0,R800-l0.2,0.2,B6-noVWprune,7,0.0,0.6547619047619048,2.241711085117946,21540.57671597768,146,210,-367.74576715977685,84,55,18,0.2445,14
800.0,R800-l0.2,0.2,B6-noVWprune,8,0.0,0.8115942028985508,1.7100077192251877,19040.44847930076,98,229,-275.4244847930077,69,56,10,0.2415,10
800.0,R800-l0.2,0.2,B6-noVWprune,9,0.0,0.7160493827160493,1.8137525834880281,19533.97932644626,212,215,-346.8197932644627,81,58,18,0.3005,18
