method,mover,layout,cell,scene_seed,hotspot_centers,success_rate,mean_delay_s,eff_latency_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
B3-hover,hover,corners,R800-l0.2,0,"[150.0, 150.0, 1850.0, 1850.0]",0.6292134831460674,1.3489554204749936,4.624062,14476.907540715736,107,220,0,89,56,28,0.325,27
B7-hoverHot,hover,corners,R800-l0.2,0,"[150.0, 150.0, 1850.0, 1850.0]",0.7058823529411765,1.2895051741833987,3.851415,14949.216267429174,479,283,0,102,72,25,0.35,21
Ours(T-patrol),patrol,corners,R800-l0.2,1,"[150.0, 150.0, 1850.0, 1850.0]",0.7619047619047619,2.5859831244486733,4.11313,21780.42367674099,401,228,0,84,64,15,0.2955,10
B3-hover,hover,corners,R800-l0.2,1,"[150.0, 150.0, 1850.0, 1850.0]",0.6623376623376623,1.0393584793389175,3.493601,13544.109231948603,137,203,0,77,51,18,0.3,18
B7-hoverHot,hover,corners,R800-l0.2,1,"[150.0, 150.0, 1850.0, 1850.0]",0.75,1.360827757526819,2.846708,15515.243890955371,194,269,0,92,69,14,0.325,14
Ours(T-patrol),patrol,corners,R800-l0.2,2,"[150.0, 150.0, 1850.0, 1850.0]",0.7659574468085106,2.0273867526307163,3.212466,21106.626735287533,825,276,0,94,72,13,0.223,9
B3-hover,hover,corners,R800-l0.2,2,"[150.0, 150.0, 1850.0, 1850.0]",0.723404255319149,1.4277765093230836,3.203072,15513.723327856467,663,257,0,94,68,17,0.175,13
B7-hoverHot,hover,corners,R800-l0.2,2,"[150.0, 150.0, 1850.0, 1850.0]",0.8181818181818182,1.8590868605080986,3.096829,17726.5310696108,409,294,0,99,81,13,0.3,11
Ours(T-patrol),patrol,corners,R800-l0.2,3,"[150.0, 150.0, 1850.0, 1850.0]",0.8227848101265823,1.5512015732167395,2.491495,19901.597647177656,518,248,0,79,65,8,0.192,3
B3-hover,hover,corners,R800-l0.2,3,"[150.0, 150.0, 1850.0, 1850.0]",0.810126582278481,1.4569840140985233,2.699329,15047.265984165277,527,243,0,79,64,10,0.175,5
B7-hoverHot,hover,corners,R800-l0.2,3,"[150.0, 150.0, 1850.0, 1850.0]",0.6842105263157895,1.137097783903317,3.146435,13647.683113308898,218,206,0,76,52,15,0.325,13
Ours(T-patrol),patrol,corners,R800-l0.2,4,"[150.0, 150.0, 1850.0, 1850.0]",0.7073170731707317,1.8373185775000485,3.933713,20887.79505396307,470,225,0,82,58,18,0.226,14
B3-hover,hover,corners,R800-l0.2,4,"[150.0, 150.0, 1850.0, 1850.0]",0.5897435897435898,1.1674570120071208,4.380808,13582.034333044028,425,197,0,78,46,24,0.25,20
B7-hoverHot,hover,corners,R800-l0.2,4,"[150.0, 150.0, 1850.0, 1850.0]",0.5609756097560976,1.2607898244096,5.536541,14136.325796605144,505,182,0,82,46,33,0.4,29
Ours(T-patrol),patrol,corners,R800-l0.2,5,"[150.0, 150.0, 1850.0, 1850.0]",0.7183098591549296,1.727119439000265,3.944832,19320.18300700156,575,190,0,71,51,16,0.324,13
B3-hover,hover,corners,R800-l0.2,5,"[150.0, 150.0, 1850.0, 1850.0]",0.7297297297297297,1.3820111505930552,3.765251,14164.094218259563,705,203,0,74,54,17,0.3,14
B7-hoverHot,hover,corners,R800-l0.2,5,"[150.0, 150.0, 1850.0, 1850.0]",0.5294117647058824,0.8919342938845828,4.883965,12999.314513779042,319,149,0,68,36,25,0.425,23
Ours(T-patrol),patrol,corners,R800-l0.2,6,"[150.0, 150.0, 1850.0, 1850.0]",0.7333333333333333,1.6902145790218646,3.159491,20620.21806109344,633,206,0,75,55,12,0.21,8
B3-hover,hover,corners,R800-l0.2,6,"[150.0, 150.0, 1850.0, 1850.0]",0.6785714285714286,1.480217529497102,4.004433,15189.431508108044,53,211,0,84,57,21,0.25,21
B7-hoverHot,hover,corners,R800-l0.2,6,"[150.0, 150.0, 1850.0, 1850.0]",0.6781609195402298,1.4803705725640155,4.038412,15184.544822785652,880,234,0,87,59,22,0.375,15
Ours(T-patrol),patrol,corners,R800-l0.2,7,"[150.0, 150.0, 1850.0, 1850.0]",0.8472222222222222,1.7371894165248407,2.638452,19920.374220865237,45,229,0,72,61,7,0.2445,7
