method,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts
alpha-low,5,0.8962±0.0089,2.8026±0.1566,18908.4105±196.4336,631.7600±31.7184
alpha-high,5,0.9061±0.0087,2.7622±0.1166,19265.1135±670.2628,604.3200±44.6373
