cell,R,lambda_high,method,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
R800-l0.2,800.0,0.2,B3-hover,1,0.5688±0.0000,1.2518±0.0000,14600.1093±0.0000,36.0000±0.0000,231.0000±0.0000,109.0000±0.0000,62.0000±0.0000,35.0000±0.0000,0.3250±0.0000,35.0000±0.0000
R800-l0.2,800.0,0.2,B4-flat,1,0.6042±0.0000,5.0193±0.0000,30920.1543±0.0000,20.0000±0.0000,148.0000±0.0000,96.0000±0.0000,58.0000±0.0000,30.0000±0.0000,0.2950±0.0000,14.0000±0.0000
R800-l0.2,800.0,0.2,Ours(T-patrol),1,0.7105±0.0000,2.0434±0.0000,21864.5770±0.0000,889.0000±0.0000,309.0000±0.0000,114.0000±0.0000,81.0000±0.0000,25.0000±0.0000,0.2950±0.0000,20.0000±0.0000
