method,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
B1-random,5,0.6799±0.0602,1.5050±0.2484,16457.3885±677.4350,486.0000±266.8782,238.0000±13.3116,93.0000±10.5262,62.8000±5.3814,24.2000±5.3066,0.2453±0.0624,21.0000±4.7329
B2-chase,5,0.7452±0.0424,1.8982±0.2369,19078.7148±247.1344,571.0000±302.2840,284.4000±12.8156,101.8000±7.7820,75.6000±3.7202,20.6000±5.3889,0.2293±0.0655,17.0000±6.8411
B3-hover,5,0.6456±0.0562,1.4698±0.1534,15327.5768±450.7384,468.0000±276.8675,234.0000±11.5758,94.8000±8.7270,60.8000±3.0594,26.4000±6.6513,0.2450±0.0620,22.8000±7.5206
Ours(T-patrol),5,0.7311±0.0597,1.8883±0.2380,21238.3584±917.4745,745.4000±413.5111,284.6000±16.8594,101.4000±6.7409,74.0000±6.2610,20.4000±4.6303,0.2463±0.0417,16.4000±4.1280
B6-noVWprune,5,0.7436±0.0325,2.0758±0.0870,22275.7319±651.9235,264.2000±109.2674,274.6000±24.4344,96.8000±8.4947,72.0000±7.3485,20.4000±2.9394,0.2463±0.0417,16.2000±3.2496
B4-flat,5,0.5705±0.0437,3.5410±0.1473,24664.7292±2086.1125,159.6800±58.9130,186.2400±13.5436,93.8000±1.1866,53.3200±4.2343,29.8800±2.9627,0.2513±0.0028,19.0800±0.9261
B5-SACflat,5,0.5967±0.0241,3.1130±0.2385,22309.3028±2583.3490,215.6000±46.0949,216.5200±30.4596,94.2800±0.9261,56.1600±2.2782,28.1200±2.3786,0.2547±0.0000,19.3200±1.2172
