R,cell,delta,episodes,lambda_high,method,mover,scene_seed,train_seed,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
900.0,R900-l0.1,,,0.1,Ours(T-patrol),,2,,0.0,0.8333333333333334,1.6941255074693709,19618.101523719524,439,235,-265.3610152371953,72,60,8,0.1595,4
900.0,R900-l0.1,,,0.1,Ours(T-patrol),,3,,0.0,0.813953488372093,1.7383182260623602,20961.9952351786,742,260,-295.45995235178606,86,70,10,0.1125,5
900.0,R900-l0.1,,,0.1,Ours(T-patrol),,4,,0.0,0.7948717948717948,1.3598383476773686,19325.710572010175,192,230,-278.55710572010184,78,62,10,0.1805,9
900.0,R900-l0.1,,,0.1,B3-hover,,0,,0.0,0.7241379310344828,1.2841575952048068,15035.340039310682,678,242,-309.95340039310685,87,63,19,0.225,14
900.0,R900-l0.1,,,0.1,B3-hover,,1,,0.0,0.8375,1.3513822152277386,15921.999581973274,237,237,-236.51999581973274,80,67,9,0.125,7
900.0,R900-l0.1,,,0.1,B3-hover,,2,,0.0,0.8472222222222222,1.4909340115139054,15023.394160940174,472,236,-219.17394160940177,72,61,8,0.1,4
900.0,R900-l0.1,,,0.1,B3-hover,,3,,0.0,0.7272727272727273,1.4175227833920434,14235.425826012877,566,224,-276.9942582601288,77,56,16,0.125,11
900.0,R900-l0.1,,,0.1,B3-hover,,4,,0.0,0.8421052631578947,1.479608080521634,15531.802054468313,400,246,-240.69802054468315,76,64,10,0.125,7
900.0,R900-l0.1,-,250,0.1,B4-flat,patrol,0,100,46.08,0.7439024390243902,3.312327281558023,23964.264273740067,111,210,,82,61,16,0.2185,13
900.0,R900-l0.1,-,250,0.1,B4-flat,patrol,1,101,46.03,0.6447368421052632,2.9581273395766687,24062.682871720866,184,181,,76,49,19,0.195,10
900.0,R900-l0.1,-,250,0.1,B4-flat,patrol,2,102,46.37,0.6885245901639344,4.621013075797789,25211.61072507865,131,124,,61,42,11,0.1595,9
900.0,R900-l0.1,-,250,0.1,B4-flat,patrol,3,103,51.27,0.620253164556962,4.014614320125569,25131.411369206206,309,160,,79,49,23,0.1215,8
900.0,R900-l0.1,-,250,0.1,B4-flat,patrol,4,104,44.59,0.7662337662337663,3.146905501644023,27496.902531844004,32,158,,77,59,13,0.1805,9
600.0,R600-l0.2,,,0.2,Ours(T-patrol),,0,,0.0,0.41,2.3134324363029153,18215.075870468663,249,174,-589.4107587046866,100,41,49,0.5375,48
600.0,R600-l0.2,,,0.2,Ours(T-patrol),,1,,0.0,0.5053763440860215,2.1059133463771826,18303.87916700712,36,182,-515.8387916700713,93,47,40,0.467,40
600.0,R600-l0.2,,,0.2,Ours(T-patrol),,2,,0.0,0.6075949367088608,1.9081975687696886,19354.621300809977,541,199,-394.6262130080997,79,48,24,0.367,23
600.0,R600-l0.2,,,0.2,Ours(T-patrol),,3,,0.0,0.4857142857142857,1.564346766126105,18747.07870505709,180,214,-504.6107870505709,105,51,38,0.473,38
600.0,R600-l0.2,,,0.2,Ours(T-patrol),,4,,0.0,0.4470588235294118,1.019442945305488,18299.627366317713,495,150,-498.4562736631771,85,38,38,0.407,34
600.0,R600-l0.2,,,0.2,B3-hover,,0,,0.0,0.41836734693877553,1.0408595668418066,14030.27757585199,102,162,-514.2827757585198,98,41,45,0.5,44
600.0,R600-l0.2,,,0.2,B3-hover,,1,,0.0,0.25555555555555554,0.8798092195909962,12268.508002767254,7,93,-529.4050800276725,90,23,49,0.475,49
600.0,R600-l0.2,,,0.2,B3-hover,,2,,0.0,0.45569620253164556,1.0962358151702285,12976.789459250123,21,144,-452.78789459250135,79,36,39,0.4,39
600.0,R600-l0.2,,,0.2,B3-hover,,3,,0.0,0.4563106796116505,1.4098721266285597,14310.266084919172,66,174,-516.6026608491917,103,47,45,0.4,45
600.0,R600-l0.2,,,0.2,B3-hover,,4,,0.0,0.4367816091954023,0.9958451793746534,13389.94114794369,702,160,-473.7194114794369,87,38,41,0.375,36
600.0,R600-l0.2,-,250,0.2,B4-flat,patrol,0,100,41.48,0.3617021276595745,4.1270692741642545,22535.043570058704,182,104,,94,34,45,0.5375,44
600.0,R600-l0.2,-,250,0.2,B4-flat,patrol,1,101,41.37,0.40860215053763443,4.2363085934672355,22191.46252768077,70,131,,93,38,41,0.499,40
600.0,R600-l0.2,-,250,0.2,B4-flat,patrol,2,102,41.94,0.5875,3.6333361464554126,20330.369849234776,22,188,,80,47,24,0.367,21
600.0,R600-l0.2,-,250,0.2,B4-flat,patrol,3,103,42.63,0.39325842696629215,3.1664552112999003,22249.030014721076,23,122,,89,35,42,0.4495,39
600.0,R600-l0.2,-,250,0.2,B4-flat,patrol,4,104,42.57,0.40229885057471265,2.089462954129625,20538.358715420603,173,122,,87,35,38,0.407,34
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,0,,0.0,0.7105263157894737,2.0434151196048194,21864.577049384665,889,309,-429.9857704938466,114,81,25,0.295,20
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,1,,0.0,0.67,1.6165307286992268,19707.670555347595,274,265,-390.5567055534759,100,67,23,0.2955,22
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,2,,0.0,0.8191489361702128,1.7161696621918894,21171.802378221513,236,286,-322.89802378221515,94,77,13,0.223,11
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,3,,0.0,0.7821782178217822,2.271419973638909,22430.188008177032,1197,296,-369.34188008177046,101,79,17,0.192,13
800.0,R800-l0.2,,,0.2,Ours(T-patrol),,4,,0.0,0.673469387755102,1.7940293876785207,21017.5541334551,1131,267,-411.9955413345511,98,66,24,0.226,16
800.0,R800-l0.2,,,0.2,B3-hover,,0,,0.0,0.5688073394495413,1.251818872925062,14600.109278277785,36,231,-438.4010927827778,109,62,35,0.325,35
800.0,R800-l0.2,,,0.2,B3-hover,,1,,0.0,0.6138613861386139,1.5963840973513586,15428.156944413831,449,244,-404.9215694441384,101,62,30,0.3,26
800.0,R800-l0.2,,,0.2,B3-hover,,2,,0.0,0.7191011235955056,1.6409448809282141,15577.968639473362,341,248,-291.2196863947336,89,64,16,0.175,14
800.0,R800-l0.2,,,0.2,B3-hover,,3,,0.0,0.7011494252873564,1.533889337496867,15929.907700315496,838,232,-343.839077003155,87,61,22,0.175,16
800.0,R800-l0.2,,,0.2,B3-hover,,4,,0.0,0.625,1.3258462264369417,15101.741256694731,676,215,-392.5174125669474,88,55,29,0.25,23
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,0,100,45.89,0.6041666666666666,5.0192796213392885,30920.154286818688,20,148,,96,58,30,0.295,14
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,1,101,45.69,0.5050505050505051,3.6882201374556893,20518.15504355856,119,227,,99,50,32,0.2845,26
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,2,102,44.65,0.7441860465116279,3.862213374694692,27680.377721813617,41,191,,86,64,15,0.223,9
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,3,103,45.81,0.5795454545454546,3.2005708364420373,24360.72849669838,318,160,,88,51,28,0.187,17
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,4,104,45.65,0.5568181818181818,3.6902223402433725,24713.476695228288,380,180,,88,49,30,0.226,18
900.0,R900-l0.2,,,0.2,Ours(T-patrol),,0,,0.0,0.8,2.1528542551684504,22857.317243257003,1092,326,-382.27317243257005,110,88,18,0.2185,11
900.0,R900-l0.2,,,0.2,Ours(T-patrol),,1,,0.0,0.8166666666666667,2.016144394876396,23744.452466223654,859,359,-350.26452466223657,120,98,13,0.1895,7
900.0,R900-l0.2,,,0.2,Ours(T-patrol),,2,,0.0,0.7912087912087912,1.6277255905734498,21129.754205610043,352,274,-314.4775420561004,91,72,12,0.1595,10
900.0,R900-l0.2,,,0.2,Ours(T-patrol),,3,,0.0,0.8411214953271028,2.0196695987752142,24368.68526321334,1273,320,-331.66685263213344,107,90,10,0.1125,3
900.0,R900-l0.2,,,0.2,Ours(T-patrol),,4,,0.0,0.8152173913043478,1.7203870900649447,20306.865301413207,1129,290,-297.88865301413205,92,75,11,0.1805,6
