cell,R,lambda_high,method,seeds,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
R800-l0.2,800.0,0.2,B2-chase,10,0.7294±0.0791,1.7720±0.3036,18196.0314±1924.5237,607.4000±388.4573,252.6000±38.0951,90.9000±13.4198,66.3000±11.8748,18.8000±6.0795,0.2186±0.0671,15.2000±7.3457
R800-l0.2,800.0,0.2,B3-hover,10,0.6413±0.0752,1.3740±0.2031,14976.4418±662.8688,484.4000±266.2988,211.1000±29.0463,85.9000±11.4843,54.8000±7.7175,23.7000±7.0718,0.2475±0.0553,20.2000±7.5472
R800-l0.2,800.0,0.2,B6-noVWprune,10,0.7350±0.0430,2.0239±0.1758,21485.2181±1231.5368,205.5000±100.5338,242.9000±37.4498,86.7000±12.5782,63.7000±10.0105,18.0000±3.8987,0.2552±0.0427,14.8000±3.3407
R800-l0.2,800.0,0.2,Ours(T-patrol),10,0.7363±0.0591,1.8522±0.1935,20326.5280±1243.3838,570.6000±376.7384,255.5000±32.6596,90.0000±13.4611,66.0000±9.7057,17.8000±5.0951,0.2552±0.0427,15.0000±4.3589
