R,cell,delta,episodes,lambda_high,method,mover,scene_seed,train_seed,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
800.0,R800-l0.2,,,0.2,B2-chase,,2,,0.0,0.7912087912087912,1.5517440571722192,18749.402622199297,393,272,-298.794026221993,91,72,13,0.1835,11
800.0,R800-l0.2,,,0.2,B2-chase,,3,,0.0,0.7821782178217822,2.0497570063244273,19071.833206031588,908,305,-335.6583320603159,101,79,17,0.1635,11
800.0,R800-l0.2,,,0.2,B2-chase,,4,,0.0,0.75,2.1100313538563302,19299.940094434303,963,282,-362.239400944343,96,72,20,0.2025,13
800.0,R800-l0.2,,,0.2,B2-chase,,5,,0.0,0.7530864197530864,1.2921972001724833,16440.43521540588,77,228,-290.8243521540587,81,61,15,0.292,15
800.0,R800-l0.2,,,0.2,B2-chase,,6,,0.0,0.7714285714285715,1.662273025327644,16699.830957746042,834,211,-293.1183095774605,70,54,15,0.2065,10
800.0,R800-l0.2,,,0.2,B2-chase,,7,,0.0,0.7741935483870968,2.189263454425169,21648.781766149263,1400,254,-344.18781766149266,93,72,15,0.1385,9
800.0,R800-l0.2,,,0.2,B2-chase,,8,,0.0,0.7567567567567568,1.6841734165946733,17461.814266218556,591,236,-268.1981426621856,74,56,11,0.1285,6
800.0,R800-l0.2,,,0.2,B2-chase,,9,,0.0,0.5121951219512195,1.4008524947832812,14315.877575287768,317,175,-384.3787757528777,82,42,29,0.2735,27
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,0,100,47.88,0.6041666666666666,5.0192796213392885,30920.154286818688,20,148,,96,58,30,0.295,14
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,1,101,49.75,0.5050505050505051,3.6882201374556893,20518.15504355856,119,227,,99,50,32,0.2845,26
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,2,102,52.2,0.7441860465116279,3.862213374694692,27680.377721813617,41,191,,86,64,15,0.223,9
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,3,103,52.45,0.5795454545454546,3.2005708364420373,24360.72849669838,318,160,,88,51,28,0.187,17
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,4,104,52.68,0.5568181818181818,3.6902223402433725,24713.476695228288,380,180,,88,49,30,0.226,18
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,5,105,52.35,0.6842105263157895,1.8989598936549574,20316.84340765804,84,197,,76,52,19,0.326,17
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,6,106,53.53,0.6349206349206349,3.9494249221813496,23254.391156965565,233,123,,63,40,17,0.209,11
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,7,107,53.46,0.6923076923076923,2.896231693892343,20800.297771736183,43,190,,78,54,16,0.252,16
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,8,108,52.33,0.6212121212121212,1.9224131195519032,18780.893445626694,368,176,,66,41,13,0.269,13
800.0,R800-l0.2,-,250,0.2,B4-flat,patrol,9,109,49.78,0.43373493975903615,2.1035071553482236,19376.076040053238,261,164,,83,36,37,0.3065,24
