apps_arrived,apps_done,apps_failed,dep_violations,energy_j,entropy,episode,eval_seed,fail_uncovered,frac_unassociated,kind,leo_invalid_attempts,leo_placements,loss,mean_adv,mean_delay_s,mean_entropy,pen_boundary,pen_collision,pen_low_battery,reward,reward_E,reward_F,reward_L,steps,success_rate
74,48,15,0,25501.02401099413,14.960718154907227,33,,10,0.1725,train,61,164,0.6930480897426605,2.220446049250313e-16,3.4369660953573025,14.969677352905274,0.0,0.0,0.0,-383.61024010994123,25501.02401099413,15.0,430.0,50,0.6486486486486487
74,46,19,0,25165.794175913066,14.941044807434082,34,,15,0.258,train,141,158,0.6646750122308731,2.042810365310288e-16,3.604391626532027,14.94934461593628,0.0,0.0,0.0,-412.9979417591306,25165.794175913066,19.0,467.0,50,0.6216216216216216
86,47,27,0,22978.589743149274,14.935592651367188,35,,25,0.3015,train,127,148,0.7315929383039474,-2.042810365310288e-16,3.2441965048701364,14.948380985260009,0.0,0.0,0.0,-456.7458974314928,22978.589743149274,27.0,548.0,50,0.5465116279069767
106,62,29,0,28713.384165811436,14.878800392150879,36,,18,0.201,train,43,187,0.7057071477174759,9.769962616701378e-17,4.6927447953419925,14.901847648620606,0.0,0.0,0.0,-533.8538416581143,28713.384165811436,29.0,736.0,50,0.5849056603773585
110,67,31,0,30995.41999858341,14.807780265808105,37,,16,0.231,train,141,195,0.6742297410964966,-1.1546319456101628e-16,5.145076911184905,14.835790176391601,0.0,0.0,0.0,-574.4541999858341,30995.41999858341,31.0,825.0,50,0.6090909090909091
84,47,29,0,25746.068807624477,14.80273723602295,38,,23,0.2245,train,24,144,0.7023048549890518,-5.151434834260726e-16,3.877501251518617,14.825046710968017,0.0,0.0,0.0,-501.3406880762448,25746.068807624477,29.0,594.0,50,0.5595238095238095
77,55,15,0,27160.87145571366,14.819726943969727,39,,11,0.193,train,188,170,0.701560914516449,2.1316282072803005e-16,4.0185032697198695,14.844009704589844,0.0,0.0,0.0,-400.6487145571365,27160.871455713663,15.0,452.0,50,0.7142857142857143
83,49,23,0,26767.24842837169,14.763808250427246,40,,22,0.278,train,75,128,0.6578294932842255,-2.575717417130363e-16,3.8931200859565513,14.795289897918702,0.0,0.0,0.0,-462.67248428371704,26767.24842837169,23.0,550.0,50,0.5903614457831325
84,55,17,0,28809.008902577956,14.718652725219727,41,,10,0.135,train,41,171,0.7073380053043365,1.127986593019159e-15,4.388900448250504,14.746977825164794,0.0,0.0,0.0,-434.91008902577954,28809.008902577956,17.0,541.0,50,0.6547619047619048
107,71,24,0,30237.908044569507,14.64278793334961,42,,15,0.222,train,94,229,0.6912655979394913,-1.1546319456101628e-16,4.758170797888856,14.676122951507569,0.0,0.0,0.0,-509.07908044569507,30237.908044569507,24.0,735.0,50,0.6635514018691588
89,49,24,0,31451.727608397858,14.594010353088379,43,,11,0.2135,train,54,155,0.6999406218528748,1.509903313490213e-16,4.283515187320693,14.61874761581421,0.0,0.0,0.0,-518.8972760839788,31451.727608397858,24.0,619.0,50,0.550561797752809
84,50,24,0,27532.941309948892,14.651235580444336,44,,20,0.2615,train,42,145,0.7121035605669022,0.0,4.472164512945657,14.65511926651001,0.0,0.0,0.0,-478.84941309948897,27532.941309948892,24.0,576.0,50,0.5952380952380952
75,47,18,0,23492.595562223785,14.637994766235352,45,,12,0.2145,train,83,170,0.693136915564537,-7.371880883511039e-16,3.8652376132694344,14.636134071350098,0.0,0.0,0.0,-388.20595562223787,23492.595562223785,18.0,464.0,50,0.6266666666666667
80,51,13,0,27009.72642679676,14.674612998962402,46,,10,0.153,train,44,166,0.6621013358235359,2.1316282072803005e-16,4.268311076184807,14.663194789886475,0.0,0.0,0.0,-383.4772642679676,27009.72642679676,13.0,469.0,50,0.6375
96,59,23,0,29337.74719614744,14.64669132232666,47,,16,0.2825,train,50,171,0.6959704756736755,1.554312234475219e-16,4.9188930423908195,14.629086875915528,0.0,0.0,0.0,-491.1574719614744,29337.74719614744,23.0,689.0,50,0.6145833333333334
81,54,16,0,30929.543361084856,14.69954776763916,48,,13,0.2275,train,131,137,0.6667739301919937,-4.2188474935755947e-16,5.11132664824376,14.688351612091065,0.0,0.0,0.0,-448.3354336108486,30929.543361084856,16.0,552.0,50,0.6666666666666666
100,45,47,0,25831.54013175024,14.666861534118652,49,,39,0.3445,train,15,119,0.7101375162601471,2.9309887850104134e-16,3.6280536193355766,14.652302131652831,0.0,0.0,0.0,-650.1954013175025,25831.54013175024,47.0,794.0,50,0.45
91,24,52,0,32538.089025393263,,49,0,27,0.2855,eval,5,14,,,7.972433405202807,0.0,0.0,0.0,0.0,-759.5608902539327,32538.089025393263,52.0,909.0,50,0.26373626373626374
88,30,44,0,30569.89480744246,,49,1,26,0.2845,eval,159,40,,,5.1398110976292735,0.0,0.0,0.0,0.0,-672.8789480744247,30569.89480744246,44.0,759.0,50,0.3409090909090909
79,37,27,0,30793.002091815288,,49,2,11,0.2125,eval,8,65,,,4.775492320710376,0.0,0.0,0.0,0.0,-536.1500209181529,30793.002091815288,27.0,611.0,50,0.46835443037974683
93,26,50,0,32133.32264734457,,49,3,21,0.206,eval,166,41,,,5.3770754175196736,0.0,0.0,0.0,0.0,-738.4732264734456,32133.32264734457,50.0,857.0,50,0.27956989247311825
86,31,44,0,33341.476524019075,,49,4,25,0.238,eval,233,40,,,6.428690161880525,0.0,0.0,0.0,0.0,-701.6147652401906,33341.476524019075,44.0,810.0,50,0.36046511627906974
76,50,18,0,28941.72211460074,14.74136734008789,50,,14,0.2115,train,59,118,0.7234064340591431,8.171241461241152e-16,4.365653365284235,14.720987644195556,0.0,0.0,0.0,-443.45722114600744,28941.72211460074,18.0,502.0,50,0.6578947368421053
49,36,8,0,24068.625529005774,14.80367660522461,51,,8,0.196,train,29,103,0.6717599183320999,2.842170943040401e-16,3.010548113580202,14.792808475494384,0.0,0.0,0.0,-309.5462552900578,24068.625529005774,8.0,243.0,50,0.7346938775510204
102,57,33,0,29507.977886917935,14.729328155517578,52,,18,0.2185,train,106,190,0.7494771033525467,-1.3322676295501878e-16,4.619132065522998,14.716681976318359,0.0,0.0,0.0,-573.7197788691792,29507.977886917935,33.0,732.0,50,0.5588235294117647
81,43,27,0,24117.806212795025,14.787275314331055,53,,18,0.33,train,77,143,0.7372512221336365,1.1546319456101628e-16,3.68494322320654,14.772284336090088,0.0,0.0,0.0,-468.55806212795034,24117.806212795025,27.0,569.0,50,0.5308641975308642
120,64,42,0,27706.01338735346,14.752305030822754,54,,34,0.217,train,73,192,0.7192943692207336,-1.7763568394002506e-16,4.269569694095324,14.747708473205567,0.0,0.0,0.0,-630.6201338735348,27706.01338735346,42.0,878.0,50,0.5333333333333333
79,45,24,0,27263.65530978019,14.764856338500977,55,,15,0.217,train,91,144,0.7020484358072281,-1.0658141036401502e-16,4.297881869686159,14.765469570159912,0.0,0.0,0.0,-476.11655309780184,27263.65530978019,24.0,574.0,50,0.569620253164557
93,65,16,0,30095.301629268062,14.792337417602539,56,,10,0.197,train,70,182,0.7110847979784012,-8.881784197001253e-18,4.1449912297044085,14.79101879119873,0.0,0.0,0.0,-440.0730162926805,30095.301629268062,16.0,556.0,50,0.6989247311827957
77,43,22,0,24720.9640792339,14.78728199005127,57,,17,0.2645,train,47,141,0.7034294307231903,6.217248937900877e-17,4.434160554675048,14.786764545440674,0.0,0.0,0.0,-434.0096407923392,24720.9640792339,22.0,540.0,50,0.5584415584415584
82,51,22,0,27794.71820558152,14.785568237304688,58,,18,0.225,train,31,151,0.7079007476568222,1.0036416142611414e-15,3.634012397045158,14.789560260772705,0.0,0.0,0.0,-464.24718205581524,27794.71820558152,22.0,515.0,50,0.6219512195121951
96,57,24,0,29361.891621124985,14.750642776489258,59,,15,0.2485,train,102,175,0.6976282149553299,3.9968028886505636e-16,4.477741582144501,14.757777843475342,0.0,0.0,0.0,-498.61891621125,29361.891621124985,24.0,650.0,50,0.59375
75,48,19,0,24736.39540660884,14.784944534301758,60,,19,0.1875,train,44,155,0.6618674546480179,3.552713678800501e-16,3.561606708454889,14.789402370452882,0.0,0.0,0.0,-408.6839540660886,24736.39540660884,19.0,466.0,50,0.64
82,53,24,0,26782.482999689342,14.757773399353027,61,,15,0.1485,train,169,178,0.725717082619667,5.329070518200751e-16,4.143974859240803,14.756311378479005,0.0,0.0,0.0,-470.84482999689345,26782.482999689342,24.0,551.0,50,0.6463414634146342
56,47,6,0,24257.200579795604,14.839016914367676,62,,6,0.2385,train,26,133,0.7408867329359055,2.486899575160351e-16,2.7381208980720757,14.841489639282226,0.0,0.0,0.0,-295.49200579795604,24257.200579795604,6.0,246.0,50,0.8392857142857143
79,58,14,0,28233.203254605825,14.787833213806152,63,,11,0.173,train,24,156,0.7407745867967606,0.0,4.6213575177636965,14.79884817123413,0.0,0.0,0.0,-404.2520325460582,28233.203254605825,14.0,496.0,50,0.7341772151898734
79,47,23,0,27838.496748093,14.728069305419922,64,,13,0.1805,train,119,159,0.7290638238191605,-1.0658141036401502e-16,4.079021712884715,14.73890115737915,0.0,0.0,0.0,-472.96496748093017,27838.496748093,23.0,529.0,50,0.5949367088607594
100,52,35,0,25952.437853827738,14.740248680114746,65,,32,0.335,train,24,169,0.6982830464839935,-8.881784197001253e-17,3.732414434664352,14.739792976379395,0.0,0.0,0.0,-554.0043785382773,25952.437853827738,35.0,724.0,50,0.52
87,42,31,0,26773.37405907791,14.7341947555542,66,,27,0.285,train,171,136,0.7450451850891113,-1.4210854715202004e-16,4.0043370511067105,14.7343044090271,0.0,0.0,0.0,-528.753740590779,26773.37405907791,31.0,651.0,50,0.4827586206896552
71,49,16,0,22557.623993983852,14.768959999084473,67,,15,0.224,train,46,164,0.6759579330682755,-9.325873406851315e-17,3.22444109854611,14.773987102508546,0.0,0.0,0.0,-361.6362399398384,22557.623993983852,16.0,403.0,50,0.6901408450704225
77,47,17,0,25627.55787475155,14.750253677368164,68,,14,0.204,train,33,137,0.6962961405515671,5.240252676230739e-16,3.6874814372011295,14.757882556915284,0.0,0.0,0.0,-401.43557874751554,25627.55787475155,17.0,458.0,50,0.6103896103896104
82,49,24,0,24891.79786996887,14.691010475158691,69,,16,0.226,train,144,156,0.7387779504060745,-2.575717417130363e-16,3.50815052902056,14.711371536254882,0.0,0.0,0.0,-451.59797869968867,24891.79786996887,24.0,534.0,50,0.5975609756097561
106,55,36,0,29920.15916797007,14.626616477966309,70,,24,0.2095,train,222,165,0.7107549607753754,-1.5987211554602254e-16,4.587162063593683,14.650273094177246,0.0,0.0,0.0,-602.9215916797007,29920.15916797007,36.0,786.0,50,0.5188679245283019
81,59,10,0,27533.117468075696,14.692901611328125,71,,8,0.1805,train,42,161,0.7568362951278687,-1.021405182655144e-15,3.9490545607061662,14.696456508636475,0.0,0.0,0.0,-364.33117468075693,27533.117468075696,10.0,450.0,50,0.7283950617283951
74,48,21,0,26199.597046495506,14.668618202209473,72,,12,0.142,train,76,129,0.7221849858760834,-8.881784197001253e-18,4.679720776488149,14.662003192901611,0.0,0.0,0.0,-440.575970464955,26199.597046495506,21.0,529.0,50,0.6486486486486487
108,64,25,0,30920.672510957997,14.634568214416504,73,,14,0.1185,train,92,198,0.6961371898651123,2.3092638912203257e-16,5.123552727059712,14.638835201263428,0.0,0.0,0.0,-524.3467251095799,30920.672510957997,25.0,757.0,50,0.5925925925925926
82,48,24,0,27261.209291219933,14.657058715820312,74,,17,0.1945,train,100,140,0.7177430838346481,-3.552713678800501e-17,4.247919889248629,14.665722923278809,0.0,0.0,0.0,-476.0520929121993,27261.209291219933,24.0,572.0,50,0.5853658536585366
92,44,39,0,31398.428696570405,,74,0,22,0.287,eval,382,126,,,5.388210076913254,0.0,0.0,0.0,0.0,-641.4642869657042,31398.428696570405,39.0,774.0,50,0.4782608695652174
97,40,38,0,30535.42198067706,,74,1,30,0.2935,eval,121,107,,,5.02589484748413,0.0,0.0,0.0,0.0,-624.9942198067705,30535.42198067706,38.0,782.0,50,0.41237113402061853
79,39,30,0,27547.82959631311,,74,2,14,0.2125,eval,114,109,,,3.889871108817508,0.0,0.0,0.0,0.0,-527.3582959631312,27547.82959631311,30.0,594.0,50,0.4936708860759494
96,47,28,0,30036.066627319742,,74,3,12,0.206,eval,329,103,,,4.595434236143515,0.0,0.0,0.0,0.0,-538.0006662731976,30036.066627319742,28.0,682.0,50,0.4895833333333333
87,38,36,0,28271.19175162081,,74,4,19,0.238,eval,29,67,,,4.620855433758315,0.0,0.0,0.0,0.0,-584.7919175162083,28271.19175162081,36.0,704.0,50,0.4367816091954023
82,49,25,0,25841.96429993038,14.662973403930664,75,,18,0.258,train,142,154,0.6995474845170975,-5.062616992290713e-16,3.531533955252664,14.661461791992188,0.0,0.0,0.0,-469.4796429993039,25841.96429993038,25.0,553.0,50,0.5975609756097561
87,53,28,0,26620.251277546377,14.652373313903809,76,,20,0.285,train,177,160,0.7188596725463867,3.4638958368304885e-16,4.360028649276501,14.639317741394043,0.0,0.0,0.0,-502.82251277546357,26620.251277546377,28.0,631.0,50,0.6091954022988506
110,58,35,0,29729.901729430112,14.63672161102295,77,,19,0.224,train,111,188,0.7082217782735825,9.769962616701378e-17,5.272759596029245,14.6216548538208,0.0,0.0,0.0,-593.939017294301,29729.901729430112,35.0,832.0,50,0.5272727272727272
97,57,27,0,28259.468497451424,14.685813903808594,78,,21,0.242,train,74,177,0.7510435730218887,-1.7763568394002506e-16,4.488145757241551,14.67915325164795,0.0,0.0,0.0,-512.3946849745141,28259.468497451424,27.0,690.0,50,0.5876288659793815
92,45,35,0,29597.914268279812,14.671467781066895,79,,26,0.3245,train,43,129,0.7378008365631104,1.9539925233402755e-16,5.31549577676131,14.674337310791016,0.0,0.0,0.0,-590.9791426827984,29597.914268279812,35.0,750.0,50,0.4891304347826087
85,58,19,0,24273.039412038073,14.699711799621582,80,,16,0.2495,train,94,196,0.7012809216976166,1.0658141036401502e-16,4.275122541270541,14.707565231323242,0.0,0.0,0.0,-405.75039412038075,24273.039412038073,19.0,551.0,50,0.6823529411764706
69,42,16,0,23469.808723053422,14.705511093139648,81,,16,0.268,train,39,123,0.7644713670015335,-5.329070518200751e-17,3.6014878054508705,14.707469673156739,0.0,0.0,0.0,-371.23808723053423,23469.808723053422,16.0,427.0,50,0.6086956521739131
74,55,12,0,22902.723281202085,14.720328330993652,82,,12,0.2675,train,25,175,0.6647782325744629,-1.3322676295501878e-17,3.1191816014049034,14.721284999847413,0.0,0.0,0.0,-332.4072328120208,22902.723281202085,12.0,369.0,50,0.7432432432432432
128,74,40,0,30901.39083202274,14.63221549987793,83,,30,0.351,train,135,245,0.7617349773645401,-2.575717417130363e-16,5.192145404244895,14.634618186950684,0.0,0.0,0.0,-648.5339083202274,30901.39083202274,40.0,976.0,50,0.578125
108,64,31,0,31034.369894598036,14.640372276306152,84,,22,0.2325,train,92,185,0.7549571245908737,-4.796163466380677e-16,4.801810612166687,14.642687950134277,0.0,0.0,0.0,-573.7036989459805,31034.369894598036,31.0,768.0,50,0.5925925925925926
76,49,19,0,27266.502763209166,14.703237533569336,85,,16,0.222,train,37,133,0.7618671506643295,3.1974423109204507e-16,3.9519015536595177,14.710883445739746,0.0,0.0,0.0,-434.32502763209175,27266.502763209166,19.0,483.0,50,0.6447368421052632
80,48,24,0,26339.555365751363,14.666123390197754,86,,19,0.254,train,150,161,0.7312937527894974,-2.9309887850104134e-16,4.388141617150289,14.67112247467041,0.0,0.0,0.0,-466.61555365751366,26339.555365751363,24.0,561.0,50,0.6
65,40,16,0,24025.158937257907,14.693428039550781,87,,14,0.256,train,99,120,0.652562826871872,6.616929226765933e-16,2.8411426553475287,14.695154514312744,0.0,0.0,0.0,-375.631589372579,24025.158937257907,16.0,369.0,50,0.6153846153846154
95,56,26,0,30970.194084686325,14.616251945495605,88,,18,0.2455,train,107,177,0.7390319257974625,-2.486899575160351e-16,5.51496222685254,14.613735370635986,0.0,0.0,0.0,-532.4619408468631,30970.194084686325,26.0,738.0,50,0.5894736842105263
79,56,17,0,25211.9986629679,14.700550079345703,89,,15,0.219,train,119,167,0.7311691492795944,-6.750155989720952e-16,3.303849735857269,14.691751251220703,0.0,0.0,0.0,-397.5199866296791,25211.9986629679,17.0,470.0,50,0.7088607594936709
88,46,27,0,27308.51906430681,14.668724060058594,90,,19,0.2755,train,103,144,0.7395401149988174,5.417888360170764e-16,4.421923429871713,14.660093307495117,0.0,0.0,0.0,-501.8451906430682,27308.51906430681,27.0,638.0,50,0.5227272727272727
74,45,23,0,25559.845484687205,14.682708740234375,91,,20,0.276,train,24,121,0.7184049934148788,1.865174681370263e-16,4.167188284276434,14.674853363037109,0.0,0.0,0.0,-449.9984548468721,25559.845484687205,23.0,520.0,50,0.6081081081081081
80,53,17,0,27397.01144558605,14.72375774383545,92,,17,0.2015,train,122,151,0.6924190819263458,5.595524044110789e-16,3.8163212273110423,14.717494029998779,0.0,0.0,0.0,-419.3701144558605,27397.01144558605,17.0,470.0,50,0.6625
84,54,18,0,28291.868693195007,14.71400260925293,93,,14,0.218,train,43,148,0.7018797695636749,8.881784197001253e-17,5.234552225643046,14.708028354644775,0.0,0.0,0.0,-438.6386869319501,28291.868693195007,18.0,586.0,50,0.6428571428571429
54,36,9,0,23603.72558495529,14.775981903076172,94,,7,0.2335,train,47,107,0.7761423140764236,2.6645352591003756e-16,3.2733513230037716,14.768143424987793,0.0,0.0,0.0,-314.0972558495529,23603.72558495529,9.0,303.0,50,0.6666666666666666
86,51,27,0,29620.89004022187,14.687419891357422,95,,16,0.1645,train,101,162,0.7561653405427933,-4.796163466380677e-16,5.245880856930065,14.68328691482544,0.0,0.0,0.0,-525.4889004022186,29620.89004022187,27.0,664.0,50,0.5930232558139535
84,48,22,0,27338.430241998896,14.735886573791504,96,,18,0.202,train,126,140,0.7355139255523682,9.059419880941278e-16,3.7204864006624825,14.736214427947997,0.0,0.0,0.0,-461.0443024199891,27338.430241998896,22.0,583.0,50,0.5714285714285714
58,39,9,0,25635.14502894902,14.76553726196289,97,,7,0.2385,train,29,104,0.7632160782814026,3.552713678800501e-16,4.332117977131858,14.758034801483154,0.0,0.0,0.0,-335.25145028949015,25635.14502894902,9.0,345.0,50,0.6724137931034483
