difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,line,scale,seed,area_km,road_km,uav_speed,runtime_s
v2x_hotspot_hard,none,postmove_exact,15,-66.236336801954,33.76297590939302,0.054058187926971486,0.3163017589241257,149.08945995909195,149.4057617180161,0.9878666666666667,0.012133333333333335,0.10669999999999999,6389,278,833,0.8518666666666667,0.037066666666666664,0.11106666666666666,real,1.0,73,1.0,0.7,25.0,1.9
v2x_hotspot_hard,none,current_exact,15,-68.70495403077005,35.23651393231222,0.05419593573155457,0.31373502416924437,149.08945995909195,149.40319498326122,0.9866666666666666,0.013333333333333334,0.1066,6389,282,829,0.8518666666666667,0.0376,0.11053333333333333,real,1.0,73,1.0,0.7,25.0,2.0
v2x_hotspot_hard,none,predict_tea,15,-68.70495628995371,35.23651254355637,0.054195908137285705,0.3138955873500343,149.08945995909195,149.40335554644201,0.9866666666666666,0.013333333333333334,0.10656666666666666,6389,283,828,0.8518666666666667,0.037733333333333334,0.1104,real,1.0,73,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,follow_tea,15,-72.43981721185405,37.107956592998725,0.052969161965651074,0.30210668602558954,147.2502556042597,147.55236229028532,0.9844000000000002,0.015600000000000003,0.11003333333333334,6383,268,849,0.8510666666666666,0.03573333333333333,0.1132,real,1.0,73,1.0,0.7,25.0,2.1
v2x_hotspot_hard,none,pmeo_e,15,-95.69977275731449,61.784769607122115,0.060025962445638355,0.3049017929375132,83.22968021868222,83.5345820116197,0.9713333333333334,0.028666666666666667,0.10883333333333334,6376,394,730,0.8501333333333333,0.052533333333333335,0.09733333333333333,real,1.0,73,1.0,0.7,25.0,2.8
v2x_hotspot_hard,none,random,15,-240.29543577375048,136.26812165453288,0.11630323291021996,0.9654442693307146,145.80608225040754,146.77152651973822,0.9162666666666668,0.08373333333333334,0.49778985113208046,2533,2506,2461,0.33773333333333333,0.33413333333333334,0.32813333333333333,real,1.0,73,1.0,0.7,25.0,1.3
v2x_hotspot_hard,none,postmove_exact,15,-99.32497554690423,37.24631904913518,0.08244342225201585,0.445833983700334,148.5868102252631,149.0326442089634,0.9783999999999999,0.021600000000000008,0.15883333333333335,5953,300,1247,0.7937333333333333,0.04,0.16626666666666667,real,1.0,1,1.0,0.7,25.0,2.3
v2x_hotspot_hard,none,current_exact,15,-102.34596310854702,36.47682780335468,0.08261862808424594,0.4463471056444128,148.5868102252631,149.0331573309075,0.9769333333333332,0.023066666666666676,0.15833333333333333,5957,313,1230,0.7942666666666667,0.04173333333333333,0.164,real,1.0,1,1.0,0.7,25.0,2.0
v2x_hotspot_hard,none,predict_tea,15,-102.34446393175313,36.475769702897594,0.08261560468554908,0.44647233118962665,148.5868102252631,149.03328255645272,0.9769333333333332,0.023066666666666676,0.15830000000000002,5957,314,1229,0.7942666666666667,0.04186666666666667,0.16386666666666666,real,1.0,1,1.0,0.7,25.0,2.1
v2x_hotspot_hard,none,follow_tea,15,-114.12165762610462,40.02626769100958,0.08227454839471389,0.4280899024658314,148.08241105167752,148.51050095414337,0.9709333333333333,0.029066666666666675,0.16166666666666665,5936,357,1207,0.7914666666666667,0.0476,0.16093333333333334,real,1.0,1,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,pmeo_e,15,-161.84396798443512,66.53741767937743,0.09325161598745228,0.43159990709051016,85.08333333333333,85.51493324042384,0.9466666666666665,0.05333333333333335,0.15973333333333334,5919,603,978,0.7892,0.0804,0.1304,real,1.0,1,1.0,0.7,25.0,3.6
v2x_hotspot_hard,none,random,15,-386.92907965075176,151.16438498965485,0.1827796613305286,1.5693083858917052,145.82318146898194,147.39248985487365,0.8595999999999999,0.14040000000000002,0.49533999825505437,2471,2478,2551,0.3294666666666667,0.3304,0.34013333333333334,real,1.0,1,1.0,0.7,25.0,1.3
v2x_hotspot_hard,none,postmove_exact,15,-87.1124619275159,34.80111789484217,0.07629926873321255,0.4348854725082756,147.86005680325508,148.29494227576333,0.9829333333333334,0.01706666666666667,0.14833333333333334,6027,267,1206,0.8036,0.0356,0.1608,real,1.0,7,1.0,0.7,25.0,2.0
v2x_hotspot_hard,none,current_exact,15,-89.59801564307735,33.83361103603622,0.07646979119340205,0.43781032717504104,147.86005680325508,148.2978671304301,0.9817333333333333,0.01826666666666667,0.1476,6030,283,1187,0.804,0.037733333333333334,0.15826666666666667,real,1.0,7,1.0,0.7,25.0,2.1
v2x_hotspot_hard,none,predict_tea,15,-89.5967803438468,33.83158685553485,0.07646723821072589,0.43822224825052086,147.86005680325508,148.2982790515056,0.9817333333333333,0.01826666666666667,0.14753333333333335,6030,284,1186,0.804,0.037866666666666667,0.15813333333333332,real,1.0,7,1.0,0.7,25.0,2.3
